,Rank,OPR,DPR,CCWM,teleopOPR,autoOPR,endgameOPR,scheduleStrength,,
973,1,106.85,25.03,81.81,79.37,22.97,32.52,-0.91,,2928 had the WORST schedule statistically 
148,1,102.27,6.83,95.43,64.95,25.66,33.34,-0.63,,
4635,5,98.55,16.49,82.06,37.88,16.46,14.02,-0.95,,
5172,12,96.86,19.24,77.62,64.74,28.68,17.34,0.11,,
7498,1,95.20,19.80,75.40,67.04,15.89,31.55,-0.65,,
2468,2,94.94,25.43,69.51,56.94,23.68,29.25,1.26,,
1736,13,93.27,36.97,56.29,57.15,20.39,35.95,1.51,,
987,2,93.04,33.23,59.81,60.45,23.43,19.96,-0.75,,
67,1,93.01,37.74,55.27,56.97,28.52,31.31,1.55,,
4201,1,92.96,-2.17,95.12,58.86,23.95,26.34,-1.65,,
2338,2,92.40,10.22,82.18,67.56,15.40,29.78,-1.90,,
694,1,91.59,32.02,59.57,63.18,28.16,30.94,0.54,,
1690,1,91.58,11.28,80.30,64.50,21.06,28.56,-1.26,,
1540,1,89.16,22.23,66.93,51.88,26.25,18.41,0.10,,
16,3,85.47,20.99,64.49,54.20,19.03,22.83,0.64,,
294,1,85.30,32.64,52.65,54.24,17.62,33.13,0.31,,
2910,1,84.54,15.43,69.11,56.25,23.63,23.52,-1.20,,
4624,17,84.53,30.83,53.70,49.34,23.31,31.42,0.63,,
1918,1,84.36,8.74,75.61,61.07,17.20,27.47,-0.17,,
188,1,84.11,16.59,67.52,53.16,25.45,25.37,-1.20,,
4910,3,83.37,5.90,77.48,53.97,27.39,22.96,-0.76,,
5413,1,82.86,33.26,49.60,54.58,23.62,31.28,-1.21,,
3750,5,82.57,38.19,44.38,61.35,19.59,22.25,0.40,,
2337,1,81.97,30.27,51.70,52.38,25.72,28.51,-0.33,,
8,4,81.60,28.71,52.89,47.93,20.39,27.09,0.49,,
1619,2,81.45,37.84,43.62,46.62,30.23,17.56,-0.44,,
176,1,81.31,27.85,53.46,52.39,24.57,19.18,-1.27,,
7285,3,80.72,10.85,69.87,35.86,23.46,30.25,-0.96,,
7457,2,80.39,38.68,41.71,54.55,14.26,27.88,0.21,,
3875,1,80.25,4.71,75.54,59.99,18.56,39.10,0.08,,
4522,8,80.16,38.77,41.38,48.55,21.99,24.19,0.66,,
4130,1,80.09,26.26,53.83,47.23,21.40,28.72,0.50,,
2168,1,79.74,16.31,63.43,59.44,20.60,27.57,1.00,,
1023,1,79.40,25.60,53.80,56.29,20.82,26.29,-0.37,,
2471,3,79.22,17.37,61.85,53.06,28.57,13.77,0.11,,
1986,1,79.22,16.39,62.83,56.64,19.06,30.78,-0.94,,
1678,7,78.99,28.86,50.13,40.78,30.33,13.63,-0.90,,
1868,2,78.74,21.01,57.73,42.70,16.09,23.64,-0.42,,
3683,2,77.88,9.09,68.80,49.71,12.61,20.09,0.47,,
2200,2,77.28,17.26,60.02,62.38,14.22,27.13,-1.93,,
4414,3,77.03,8.87,68.16,45.83,24.33,18.45,-1.50,,
118,3,76.80,13.71,63.09,53.80,23.57,20.69,0.24,,
6560,6,76.76,20.79,55.98,39.45,34.29,19.54,-0.57,,
2714,1,76.75,28.16,48.59,43.69,17.71,32.24,0.31,,
1720,3,76.40,37.02,39.38,57.88,20.37,29.73,-0.02,,
111,7,76.25,32.68,43.58,56.67,16.03,23.18,-0.03,,
1339,3,76.21,9.23,66.98,54.96,17.98,27.79,-0.81,,
4519,3,76.07,10.85,65.22,43.81,18.41,24.66,1.02,,
1410,1,75.79,33.42,42.37,59.24,20.95,32.03,-0.28,,
6989,8,75.64,36.69,38.94,27.46,17.67,10.69,-0.09,,
2614,3,75.11,23.67,51.44,45.95,15.00,31.86,0.22,,
6637,2,74.74,9.09,65.65,37.36,26.29,24.78,-1.76,,
2337,1,73.92,20.26,53.66,46.48,23.97,31.97,0.17,,
1756,10,73.76,32.80,40.96,58.64,16.50,30.30,0.60,,
4539,7,73.72,25.75,47.98,49.26,17.56,30.01,-0.39,,
3674,4,73.72,30.88,42.85,55.25,18.52,23.02,0.58,,
5024,1,73.58,7.20,66.38,39.32,15.85,29.47,-2.03,,
2052,3,73.29,37.98,35.30,57.23,18.47,29.36,0.16,,
226,2,72.98,20.72,52.26,56.09,13.15,33.44,0.47,,
3598,3,72.82,24.06,48.76,27.53,15.38,21.76,0.02,,
2767,4,72.08,20.75,51.33,45.19,25.23,19.10,0.66,,
1771,2,71.79,12.76,59.03,42.08,19.49,23.28,-1.16,,
3847,1,71.74,15.49,56.25,51.17,14.77,28.57,-0.27,,
231,4,71.46,10.88,60.58,39.18,11.74,22.16,0.53,,
1519,4,70.39,21.31,49.08,36.86,25.72,24.42,-0.75,,
3538,2,70.12,26.66,43.46,50.34,19.83,19.99,-0.24,,
365,1,69.79,25.19,44.60,42.98,18.17,26.54,-1.37,,
3824,2,69.74,34.95,34.79,48.36,14.47,38.55,-0.33,,
5676,2,69.39,31.46,37.93,51.91,16.67,35.14,0.52,,
115,2,68.83,-0.01,68.84,48.05,21.32,25.26,-2.00,,
5687,2,68.79,35.20,33.59,52.21,16.69,31.36,1.26,,
836,8,68.69,29.24,39.45,40.55,24.10,19.33,0.28,,
876,9,68.67,51.10,17.57,46.22,15.97,29.65,0.89,,
4451,12,68.49,36.04,32.45,41.70,24.22,19.74,-0.79,,
5802,13,68.25,48.78,19.47,39.78,19.92,22.76,-0.06,,
3928,3,68.08,39.19,28.89,40.20,17.56,13.33,-0.12,,
95,7,67.95,28.67,39.28,48.90,15.35,20.26,0.65,,
2987,5,67.83,52.17,15.67,48.81,16.93,32.25,0.36,,
1807,2,67.70,23.54,44.16,44.98,10.07,24.15,0.18,,
1816,1,67.69,37.46,30.23,42.21,18.73,27.85,-0.28,,
3478,3,67.48,25.18,42.30,40.02,14.99,21.01,0.85,,
1533,5,67.28,34.95,32.33,40.14,13.46,21.93,0.76,,
7411,11,67.26,28.42,38.85,54.32,9.13,35.26,0.37,,
3322,2,67.22,15.10,52.11,41.31,20.99,16.25,-1.03,,
2687,3,67.04,34.46,32.58,43.12,8.45,28.31,1.06,,
418,2,66.96,16.90,50.06,37.32,19.37,22.82,0.81,,
3293,1,66.89,23.95,42.94,44.83,10.38,22.53,-1.32,,
177,2,66.84,9.13,57.71,43.06,16.66,21.22,-1.57,,
1086,2,66.63,10.43,56.20,47.98,12.48,16.09,-1.57,,
51,4,66.16,20.72,45.44,49.34,14.71,24.21,0.69,,
548,7,65.79,20.92,44.86,47.28,10.03,26.11,-0.26,,
2659,15,65.73,20.58,45.15,41.28,22.27,20.77,-0.05,,
503,4,65.45,6.43,59.02,44.15,16.80,22.74,0.38,,
3937,17,65.40,23.94,41.46,49.67,17.69,22.59,1.73,,
5561,2,64.92,36.23,28.69,51.12,11.55,33.73,-0.56,,
2096,1,64.68,30.99,33.69,31.48,15.60,19.19,0.42,,
3374,5,64.65,26.67,37.98,46.13,15.41,25.93,0.03,,
3082,4,64.45,17.80,46.65,41.59,14.63,33.74,-0.85,,
8002,30,64.16,44.63,19.53,40.63,17.00,14.63,0.97,,
3339,2,64.16,17.48,46.68,30.91,17.75,17.10,-1.00,,
4607,31,64.06,53.38,10.69,46.23,12.36,19.42,1.37,,
2974,5,63.66,26.03,37.64,32.21,23.42,4.52,1.89,,
7296,1,63.61,16.06,47.55,49.23,6.52,44.47,0.05,,
3641,5,63.31,37.84,25.47,41.68,17.69,26.27,-0.92,,
2102,9,63.29,32.20,31.09,40.54,17.56,32.10,0.67,,
862,4,63.29,22.34,40.95,45.16,16.64,27.02,0.39,,
1325,2,63.23,24.11,39.12,46.95,12.98,32.49,0.47,,
4472,2,63.12,31.02,32.09,54.07,12.71,25.90,0.55,,
4481,4,63.06,34.37,28.69,45.69,15.87,22.45,-1.40,,
5528,2,62.83,15.89,46.94,42.13,16.48,33.00,1.72,,
2586,5,62.78,39.38,23.41,34.35,17.50,12.77,-0.17,,
6329,2,62.73,28.67,34.06,47.32,14.19,30.78,-0.30,,
5409,6,62.67,21.09,41.58,37.67,21.98,21.50,0.97,,
3647,2,62.64,25.18,37.47,30.95,21.47,9.17,-1.15,,
610,5,62.50,28.03,34.47,35.85,23.94,15.89,-0.77,,
3255,12,62.48,29.61,32.87,38.57,9.34,19.30,0.16,,
2990,8,62.40,26.97,35.43,40.68,19.53,19.25,0.70,,
1787,3,62.32,42.96,19.37,53.19,9.16,21.50,0.05,,
3814,11,62.18,49.87,12.31,43.09,18.24,34.89,1.47,,
4087,9,62.15,23.17,38.98,45.82,21.11,24.64,0.45,,
3996,3,62.03,23.59,38.44,39.83,11.59,19.99,-0.78,,
5431,6,61.94,12.91,49.04,36.16,19.63,18.17,0.14,,
5847,1,61.92,14.73,47.19,44.13,17.11,32.04,-1.84,,
2451,3,61.83,18.33,43.50,41.58,20.60,21.21,-1.79,,
2491,1,61.68,34.25,27.43,43.95,19.62,26.67,-0.36,,
3572,2,60.90,17.46,43.43,35.30,19.90,19.38,-2.02,,
6038,15,60.70,9.07,51.63,20.40,19.55,17.48,0.11,,
4611,7,60.51,22.88,37.63,43.07,12.46,27.97,0.33,,
5690,22,60.49,46.42,14.06,48.17,13.69,33.19,1.25,,
1425,7,60.48,18.06,42.42,32.55,23.03,17.20,-0.31,,
5166,5,60.46,27.78,32.68,39.16,16.03,22.24,-0.12,,
5114,13,60.33,17.60,42.73,28.53,25.85,8.98,-0.97,,
4534,3,60.26,28.72,31.55,40.12,16.22,20.32,2.04,,
2848,5,60.14,0.48,59.66,37.46,6.76,25.26,-0.31,,
4384,3,60.01,31.38,28.64,36.02,19.63,24.36,-1.22,,
865,1,59.93,21.59,38.34,43.55,16.25,27.38,-1.41,,
4909,3,59.82,24.61,35.22,45.71,12.10,31.15,-0.70,,
324,3,59.75,5.30,54.46,42.20,8.80,23.30,-1.56,,
3630,8,59.50,35.91,23.60,41.11,14.99,29.03,0.17,,
1102,1,59.50,8.27,51.23,37.50,17.51,24.26,-0.48,,
5533,2,59.49,24.19,35.30,36.84,21.02,27.93,-0.28,,
2783,14,59.34,36.31,23.03,44.94,12.55,27.45,-0.34,,
5913,3,59.30,54.33,4.96,39.47,18.07,24.83,-0.93,,
3959,1,59.23,8.62,50.61,24.48,16.61,18.42,-1.25,,
4050,30,59.11,32.32,26.79,28.59,19.37,25.90,1.57,,
33,4,59.03,28.34,30.69,36.07,11.00,19.90,0.91,,
27,4,58.96,36.91,22.05,30.60,22.02,13.69,-0.24,,
133,5,58.94,26.31,32.63,43.96,15.03,27.15,-0.93,,
7021,2,58.84,15.57,43.28,36.57,15.98,25.78,-1.33,,
88,5,58.57,18.93,39.64,33.80,22.84,21.63,0.56,,
3826,3,58.52,26.51,32.01,41.60,18.15,26.51,0.83,,
1153,14,58.51,27.88,30.63,36.10,18.66,23.23,0.21,,
5013,18,58.28,41.53,16.75,35.65,16.03,16.89,1.06,,
2363,4,58.25,23.94,34.32,37.96,17.62,14.39,0.30,,
5492,10,58.16,15.68,42.48,32.29,11.38,17.20,-1.34,,
5427,1,58.10,6.16,51.94,36.43,9.28,32.87,-0.04,,
857,3,58.07,20.77,37.30,34.40,16.74,25.10,-0.85,,
234,1,57.99,28.77,29.22,36.33,14.80,19.82,0.54,,
6855,12,57.99,32.57,25.42,32.08,16.89,22.87,1.40,,
4911,2,57.95,19.25,38.70,43.23,11.80,16.71,-0.83,,
7758,4,57.76,33.60,24.16,27.87,16.17,24.05,0.47,,
6328,3,57.74,24.53,33.21,37.71,20.44,11.62,-1.60,,
623,1,57.70,29.12,28.59,37.86,18.17,29.03,-1.55,,
3357,6,57.68,6.00,51.68,35.94,10.28,27.39,-0.95,,
1732,4,57.17,32.44,24.73,36.22,17.80,24.57,-0.96,,
2252,9,57.05,42.10,14.95,41.95,12.54,29.92,0.14,,
2710,9,56.94,41.67,15.27,41.08,14.48,20.94,0.38,,
6344,3,56.90,18.06,38.83,30.79,17.39,19.88,-0.75,,
3284,5,56.41,19.50,36.91,36.58,16.57,23.81,1.08,,
5991,4,56.39,30.52,25.87,53.42,3.18,43.45,0.39,,
1577,2,56.30,9.50,46.80,32.15,17.85,26.67,0.25,,
5895,5,56.19,18.63,37.57,38.68,11.09,13.35,-1.87,,
4265,22,56.11,29.10,27.01,36.95,13.34,22.85,0.38,,
1610,9,56.06,32.79,23.27,38.77,14.42,11.82,0.88,,
6723,1,55.98,10.43,45.55,43.66,11.79,33.93,-1.64,,
5124,19,55.94,26.32,29.62,36.94,15.48,13.33,0.63,,
1625,5,55.83,14.37,41.47,34.55,15.13,25.93,-1.06,,
2976,9,55.08,27.88,27.20,29.87,21.39,15.37,0.01,,
1225,1,55.07,5.08,49.99,37.39,7.17,32.05,0.44,,
1188,1,55.06,4.89,50.17,31.54,20.01,20.10,-1.38,,
1218,11,55.02,23.69,31.33,40.02,14.31,28.37,0.47,,
4188,2,54.96,15.92,39.04,32.87,19.06,22.74,-1.02,,
4698,4,54.94,12.70,42.24,29.36,15.59,16.28,-1.22,,
2393,27,54.90,46.25,8.65,29.31,19.66,14.79,0.49,,
7028,13,54.87,39.52,15.35,37.38,15.72,14.28,0.89,,
5697,3,54.71,12.76,41.96,34.98,17.69,29.31,-0.59,,
3990,1,54.59,21.99,32.60,32.45,18.30,18.90,-0.51,,
1197,3,54.38,24.23,30.15,34.63,16.60,21.76,-0.51,,
2170,15,54.32,34.58,19.74,37.36,14.91,21.91,0.63,,
7660,5,54.28,13.09,41.19,34.19,21.02,23.34,-1.68,,
343,25,54.25,48.01,6.24,39.77,8.89,22.90,1.86,,
449,9,54.05,25.22,28.83,24.63,18.35,19.62,-1.08,,
4967,3,53.96,23.83,30.13,33.48,9.81,29.34,0.37,,
5199,6,53.92,39.04,14.87,40.19,7.06,31.61,-0.92,,
2992,6,53.84,15.92,37.92,42.45,13.12,31.79,-1.84,,
8122,18,53.82,37.10,16.72,36.72,6.78,28.29,2.17,,
2502,6,53.82,24.83,28.99,32.84,12.36,17.83,-2.01,,
4039,12,53.64,31.99,21.65,36.82,13.51,16.32,0.61,,
1421,8,53.62,26.85,26.77,27.05,18.30,22.69,-0.71,,
6064,6,53.57,47.47,6.10,37.37,14.81,32.91,0.06,,
5436,3,53.53,22.85,30.68,42.77,11.59,35.66,-1.44,,
5015,9,53.51,44.94,8.57,34.30,13.73,21.28,-0.34,,
8079,2,53.50,34.72,18.79,31.71,16.73,20.56,0.62,,
4488,6,53.47,24.51,28.96,36.91,13.51,14.86,-0.23,,
6087,3,53.47,20.86,32.60,38.56,8.20,28.83,-0.79,,
3679,3,53.46,6.06,47.40,27.57,20.73,13.35,-1.40,,
4627,2,53.41,18.33,35.08,35.92,15.37,26.69,0.41,,
4391,10,53.26,25.97,27.29,31.86,14.72,18.14,0.00,,
2611,7,53.23,23.39,29.84,30.26,7.06,21.42,-1.93,,
5804,4,53.20,15.78,37.42,42.06,9.07,23.83,-0.44,,
4075,5,53.18,46.17,7.01,33.20,18.40,30.36,0.41,,
2847,52,53.16,75.07,-21.90,33.20,11.80,12.07,2.00,,
6025,7,53.06,18.92,34.14,26.71,11.21,12.14,-0.79,,
6502,4,53.05,23.96,29.09,27.00,16.60,12.64,-0.10,,
