,adjustPoints,autoCellPoints,autoCellsBottom,autoCellsInner,autoCellsOuter,autoInitLinePoints,autoPoints,controlPanelPoints,endgamePoints,endgameRobot1,endgameRobot2,endgameRobot3,endgameRungIsLevel,foulCount,foulPoints,initLineRobot1,initLineRobot2,initLineRobot3,rp,shieldEnergizedRankingPoint,shieldOperationalRankingPoint,stage1Activated,stage2Activated,stage3Activated,stage3TargetColor,tba_numRobotsHanging,tba_shieldEnergizedRankingPointFromFoul,techFoulCount,teleopCellPoints,teleopCellsBottom,teleopCellsInner,teleopCellsOuter,teleopPoints,totalPoints,alliance1,alliance2,alliance3,matchKey
0,0,30,1,0,7,15,45,0,35,Hang,Park,Park,NotLevel,0,0,Exited,Exited,Exited,0,False,False,True,False,False,Unknown,1,False,0,16,0,0,8,51,96,4728,5348,2526,2020mndu_f1m1
1,0,44,0,0,11,15,59,0,75,Hang,Hang,Hang,NotLevel,0,0,Exited,Exited,Exited,0,False,False,True,False,False,Unknown,3,False,0,16,0,0,8,91,150,167,1816,5464,2020mndu_f1m1
2,0,30,3,0,6,15,45,0,30,Hang,Park,None,NotLevel,0,0,Exited,Exited,Exited,0,False,False,True,False,False,Unknown,1,False,1,20,0,0,10,50,95,4728,5348,2526,2020mndu_f1m2
3,0,46,0,1,10,15,61,0,90,Hang,Hang,Hang,IsLevel,0,15,Exited,Exited,Exited,0,False,False,True,False,False,Unknown,3,False,0,16,0,0,8,106,182,167,1816,5464,2020mndu_f1m2
4,0,22,0,1,4,15,37,0,10,Park,None,Park,NotLevel,0,30,Exited,Exited,Exited,0,False,False,True,False,False,Unknown,0,False,0,28,1,3,9,38,105,3740,6045,4009,2020mndu_qf1m1
5,0,36,0,2,6,15,51,0,90,Hang,Hang,Hang,IsLevel,0,0,Exited,Exited,Exited,0,False,False,True,False,False,Unknown,3,False,2,24,0,2,9,114,165,167,1816,5464,2020mndu_qf1m1
6,0,24,0,2,3,15,39,0,35,Hang,Park,Park,NotLevel,1,0,Exited,Exited,Exited,0,False,False,True,False,False,Unknown,1,False,0,29,0,3,10,64,103,3740,6045,4009,2020mndu_qf1m2
7,0,38,0,1,8,15,53,0,55,Park,Hang,Hang,NotLevel,0,3,Exited,Exited,Exited,0,False,False,True,False,False,Unknown,2,False,0,15,0,1,6,70,126,167,1816,5464,2020mndu_qf1m2
8,0,10,3,0,1,10,20,0,30,None,Park,Hang,NotLevel,0,0,None,Exited,Exited,0,False,False,True,False,False,Unknown,1,False,0,9,9,0,0,39,59,2169,4741,2264,2020mndu_qf2m1
9,0,6,3,0,0,15,21,0,55,Hang,Hang,Park,NotLevel,0,0,Exited,Exited,Exited,0,False,False,True,False,False,Unknown,2,False,0,12,0,0,6,67,88,7797,5991,4511,2020mndu_qf2m1
