matchKey,alliance1,alliance2,alliance3,autoCellPoints,autoCellsBottom,autoCellsInner,autoCellsOuter,autoInitLinePoints,autoPoints,initLineRobot1,initLineRobot2,initLineRobot3,teleopCellPoints,teleopCellsBottom,teleopCellsInner,teleopCellsOuter,teleopPoints,endgamePoints,endgameRobot1,endgameRobot2,endgameRobot3,endgameRungIsLevel,tba_numRobotsHanging,totalPoints,rp,shieldEnergizedRankingPoint,shieldOperationalRankingPoint,tba_shieldEnergizedRankingPointFromFoul,stage1Activated,stage2Activated,stage3Activated,foulCount,techFoulCount,foulPoints,adjustPoints,controlPanelPoints
2020mndu_qm1,1816,6045,3102,44,0,2,8,15,59,1,1,1,31,0,5,8,41,10,1,0,1,0,0,115,2,0,0,0,1,0,0,0,1,15,0,0
2020mndu_qm1,7068,4217,3275,4,0,0,1,10,14,1,0,1,8,0,0,4,18,10,1,0,1,0,0,47,0,0,0,0,0,0,0,0,1,15,0,0
2020mndu_qm2,2861,2177,2823,16,0,0,4,15,31,1,1,1,10,0,0,5,20,10,1,0,1,0,0,51,0,0,0,0,1,0,0,0,0,0,0,0
2020mndu_qm2,4728,7797,4511,20,2,0,4,15,35,1,1,1,38,8,4,9,88,50,2,2,0,0,2,123,2,0,0,0,1,0,0,0,0,0,0,0
2020mndu_qm3,3755,4166,5826,6,3,0,0,10,16,1,0,1,17,1,2,5,52,35,1,1,2,0,1,71,0,0,0,0,1,0,0,0,0,3,0,0
2020mndu_qm3,4009,2264,7864,24,0,0,6,10,34,1,0,1,29,0,3,10,64,35,2,1,1,0,1,98,2,0,0,0,1,0,0,1,0,0,0,0
2020mndu_qm4,8416,2169,3754,12,0,0,3,10,22,0,1,1,26,0,0,13,36,10,1,0,1,0,0,61,0,0,0,0,1,0,0,0,2,3,0,0
2020mndu_qm4,6146,4674,6628,20,0,0,5,15,35,1,1,1,4,2,0,1,69,65,2,0,2,1,2,134,3,0,1,0,0,0,0,1,0,30,0,0
2020mndu_qm5,4238,7041,6022,0,0,0,0,10,10,0,1,1,4,0,0,2,69,65,0,2,2,1,2,94,3,0,1,0,0,0,0,0,0,15,0,0
2020mndu_qm5,5991,3291,5464,12,0,0,3,10,22,0,1,1,13,1,0,6,48,35,1,1,2,0,1,70,0,0,0,0,1,0,0,0,1,0,0,0
2020mndu_qm6,5586,6160,3294,6,3,0,0,15,21,1,1,1,16,16,0,0,46,30,0,1,2,0,1,97,0,0,0,0,1,0,0,0,1,30,0,0
2020mndu_qm6,5690,6453,5253,12,2,0,2,15,27,1,1,1,30,8,0,11,100,70,2,2,1,1,2,142,3,0,1,0,1,0,0,0,2,15,0,0
2020mndu_qm7,3122,167,5290,16,0,0,4,10,26,1,1,0,20,10,0,5,30,10,1,0,1,0,0,71,0,0,0,0,1,0,0,0,2,15,0,0
2020mndu_qm7,5348,4480,2175,26,0,1,5,15,41,1,1,1,18,0,2,6,33,15,1,1,1,1,0,104,2,0,0,0,1,0,0,0,1,30,0,0
2020mndu_qm8,3134,5999,4181,0,0,0,0,15,15,1,1,1,1,1,0,0,6,5,1,0,0,1,0,21,0,0,0,0,0,0,0,4,0,0,0,0
2020mndu_qm8,3058,2526,5576,20,0,0,5,10,30,1,0,1,26,2,0,12,66,40,0,0,2,1,1,108,2,0,0,0,1,0,0,0,0,12,0,0
2020mndu_qm9,6217,2503,4845,8,0,0,2,15,23,1,1,1,19,6,1,5,54,35,1,1,2,0,1,107,2,0,0,0,1,0,0,0,0,30,0,0
2020mndu_qm9,4230,8372,6047,0,0,0,0,5,5,1,0,0,20,20,0,0,30,10,1,1,0,1,0,35,0,0,0,0,1,0,0,0,2,0,0,0
2020mndu_qm10,93,3267,6318,6,3,0,0,10,16,0,1,1,10,8,0,1,75,65,0,2,2,1,2,91,1,0,1,0,1,0,0,0,0,0,0,0
2020mndu_qm10,4741,3740,5653,12,0,0,3,10,22,1,0,1,24,0,2,9,89,65,0,2,2,1,2,111,3,0,1,0,1,0,0,0,0,0,0,0
2020mndu_qm11,5464,5542,3275,22,0,1,4,10,32,1,0,1,11,0,1,4,46,35,2,1,1,0,1,96,2,0,0,0,1,0,0,2,0,18,0,0
2020mndu_qm11,3100,4511,7893,10,0,1,1,15,25,1,1,1,13,0,1,5,23,10,1,1,0,1,0,54,0,0,0,0,0,0,0,1,1,6,0,0
2020mndu_qm12,6160,3122,3102,18,3,0,3,15,33,1,1,1,27,17,0,5,77,50,0,2,2,0,2,122,2,0,0,0,1,0,0,0,1,12,0,0
2020mndu_qm12,2169,3291,5290,12,0,0,3,10,22,1,1,0,17,2,1,6,27,10,1,0,1,0,0,64,0,0,0,0,1,0,0,4,0,15,0,0
2020mndu_qm13,2175,3134,2177,12,0,0,3,15,27,1,1,1,6,0,0,3,51,45,1,2,0,1,1,123,2,0,0,0,0,0,0,0,0,45,0,0
2020mndu_qm13,4009,3754,4181,14,0,1,2,15,29,1,1,1,14,0,0,7,29,15,1,1,1,1,0,58,0,0,0,0,1,0,0,0,3,0,0,0
2020mndu_qm14,1816,5826,2861,24,0,0,6,15,39,1,1,1,6,0,0,3,96,90,2,2,2,1,3,135,3,0,1,0,1,0,0,0,0,0,0,0
2020mndu_qm14,8372,2526,5348,10,0,1,1,10,20,0,1,1,24,4,0,10,34,10,0,1,1,0,0,54,0,0,0,0,1,0,0,0,0,0,0,0
2020mndu_qm15,4217,5991,5586,0,0,0,0,10,10,1,0,1,11,1,0,5,61,50,1,2,1,1,1,89,2,0,0,0,0,0,0,0,2,18,0,0
2020mndu_qm15,8416,7864,93,0,0,0,0,15,15,1,1,1,10,4,0,3,40,30,0,2,1,0,1,85,0,0,0,0,0,0,0,1,1,30,0,0
2020mndu_qm16,3100,7068,2503,4,0,0,1,15,19,1,1,1,31,0,1,14,61,30,0,2,1,0,1,83,2,0,0,0,1,0,0,1,0,3,0,0
2020mndu_qm16,5653,5999,3294,12,0,0,3,15,27,1,1,1,24,8,2,5,34,10,1,0,1,0,0,64,0,0,0,0,1,0,0,1,0,3,0,0
2020mndu_qm17,7041,5253,4230,0,0,0,0,10,10,1,0,1,19,19,0,0,69,50,2,0,2,0,2,97,2,0,0,0,1,0,0,0,0,18,0,0
2020mndu_qm17,5576,6453,6146,10,0,1,1,15,25,1,1,1,12,4,0,4,47,35,1,2,1,0,1,72,0,0,0,0,1,0,0,1,1,0,0,0
