,r1,r2,r3,b1,b2,b3,muRedOPR,muBlueOPR,sigmaRedOPR,sigmaBlueOPR,win
2020mndu_qm1,7068,4217,3275,1816,6045,3102,25.485288434454777,46.29093243140452,23.853261945640483,19.72466977818072,Blue
2020mndu_qm2,4728,7797,4511,2861,2177,2823,42.859211150526185,32.823991054297245,8.662759174968487,7.43659145326156,Red
2020mndu_qm3,4009,2264,7864,3755,4166,5826,37.27854918039912,18.234314446646525,15.860689323641763,14.406317540805665,Red
2020mndu_qm4,6146,4674,6628,8416,2169,3754,31.03270906940156,28.27328031656643,7.393615255060052,5.713124063378058,Red
2020mndu_qm5,5991,3291,5464,4238,7041,6022,36.378130188816776,30.925125819720474,21.648178858013758,24.800572396863654,Blue
2020mndu_qm6,5690,6453,5253,5586,6160,3294,41.45477113555558,38.140834906775865,19.42945849605238,11.16851451896028,Red
2020mndu_qm7,5348,4480,2175,3122,167,5290,41.09621136569595,35.09618442146738,6.254840014735694,15.725541398250034,Red
2020mndu_qm8,3058,2526,5576,3134,5999,4181,32.11652162435538,24.17378784768677,16.254515684474175,12.629941907271863,Red
2020mndu_qm9,4230,8372,6047,6217,2503,4845,19.39966725773252,34.1136464934636,19.15783984753361,6.942454087749298,Blue
2020mndu_qm10,4741,3740,5653,93,3267,6318,36.85159846363771,33.88340415114336,12.132834752684309,2.0859676714817272,Red
2020mndu_qm11,3100,4511,7893,5464,5542,3275,21.037879856526068,34.42001120926535,12.282277414906508,12.565503678854796,Blue
2020mndu_qm12,2169,3291,5290,6160,3122,3102,20.283921249176156,40.411420586333854,9.03099175313729,10.151940149284496,Blue
2020mndu_qm13,4009,3754,4181,2175,3134,2177,27.231326880074096,34.844410744722445,16.30565767771303,7.110574940915166,Blue
2020mndu_qm14,8372,2526,5348,1816,5826,2861,24.78942838693753,45.12406761750335,20.116034047182158,20.84041997047502,Blue
2020mndu_qm15,8416,7864,93,4217,5991,5586,27.888631516781725,26.935021959681222,7.707966378351033,28.95493847186286,Blue
2020mndu_qm16,5653,5999,3294,3100,7068,2503,28.061919328087498,27.999387222369062,11.130944382712336,6.205095435110362,Blue
2020mndu_qm17,5576,6453,6146,7041,5253,4230,41.48583972685743,32.940623064826184,3.6714409182895893,10.07738787620263,Blue
2020mndu_qm18,7797,4845,3755,7893,6022,4741,35.26776845849151,36.256371680228625,10.362117444583424,24.249717581501777,Blue
2020mndu_qm19,5542,2264,2823,3267,5690,6217,32.717440579290134,46.124797166124644,13.679743063322151,12.739364453946685,Blue
2020mndu_qm20,167,6318,6047,3058,4674,4238,27.212168454959663,21.58300122149555,20.283667052552826,16.997440972367986,Red
2020mndu_qm21,4166,6628,6045,4728,4480,3740,25.52315566502612,41.310570661104414,21.28145600846124,6.811369737994633,Blue
2020mndu_qm22,5653,3100,7041,3102,3134,8372,27.209505059600314,26.614408713472457,7.7926220159325466,13.059038235536235,Blue
2020mndu_qm23,8416,5464,2177,3294,1816,5576,32.84480919102537,51.0436841870586,6.352147830240751,14.555474545399056,Blue
2020mndu_qm24,2823,6160,6022,5826,7893,2175,43.74749179405459,24.821907541327974,11.53328847448141,15.601230499651159,Red
2020mndu_qm25,5253,3275,5290,2264,4674,4845,27.4572276233707,34.28355957335315,14.325765223742447,12.240981248136409,Blue
2020mndu_qm26,5999,2169,5991,4230,6045,3755,35.549558927746766,36.62754626043736,18.83097405281587,8.793041308658363,Blue
2020mndu_qm27,3754,6047,5586,7797,167,2526,17.423907276607903,34.741851592187665,11.31403603075513,18.21884112737746,Blue
2020mndu_qm28,6217,3058,6628,5348,3122,3291,37.384788067217094,35.333940427082574,4.5504905792936965,19.073295818026004,Blue
2020mndu_qm29,4166,5542,6318,2503,2861,6146,18.348787829026815,35.54627114302891,15.930534531897635,6.729990957873803,Blue
2020mndu_qm30,4728,5690,7068,93,4238,4009,47.86656525132986,27.213886391110307,13.188731554761606,21.24900745324932,Red
2020mndu_qm31,3267,4741,6453,4480,4511,4217,42.02476041600649,22.42285337720553,5.7322519991977945,20.76354013142466,Red
2020mndu_qm32,5253,4181,3740,1816,6047,7864,25.05863148051966,30.41991178441883,12.75770775386291,33.0710035664098,Blue
2020mndu_qm33,6628,3294,5991,2526,2175,6160,43.23966368065398,33.67775291280868,12.083075752048297,17.73501589860983,Red
2020mndu_qm34,6022,2503,4230,3754,5290,3058,40.59792945217311,25.52246684281381,12.331250454392148,10.940024077805448,Red
2020mndu_qm35,5690,3275,5826,2169,5576,7797,43.621411459114746,40.648698141037535,16.944589379999154,8.836314884639272,Red
2020mndu_qm36,2177,5542,167,3291,7068,6453,30.180289818708605,29.932366339218564,12.193412185070507,14.873390627705904,Blue
2020mndu_qm37,8416,3102,4728,4741,2264,5348,36.76687023132231,47.647800315471386,10.697895556716421,0.3634939547706347,Blue
2020mndu_qm38,2823,4009,7041,4480,5653,6318,37.478304439742395,30.95300888359074,7.50538505546724,6.384155152423933,Red
2020mndu_qm39,5999,4166,5586,3267,4511,4238,15.754445057200556,24.35627733738916,12.6396527913784,17.761834560126402,Blue
2020mndu_qm40,5464,4217,4181,4845,8372,6146,17.400944634077764,27.56193837626053,20.591894205427888,13.198484908476292,Blue
2020mndu_qm41,4674,3100,2861,3740,3755,6217,28.607304992955875,35.78844381873251,10.820085137889185,8.139520919693272,Red
2020mndu_qm42,3122,93,7893,7864,6045,3134,28.382724758667617,33.252827596481495,18.385347376299578,12.506191377251975,Red
2020mndu_qm43,167,6022,1816,5653,6628,5690,54.71443241599855,38.94577979005994,12.096561223240649,19.180034744283986,Red
2020mndu_qm44,7068,5826,4511,3754,5253,5991,31.238968068139993,33.273702641416406,4.0640273879212705,20.017544657562723,Blue
2020mndu_qm45,6160,3058,4217,7797,4166,7041,28.049859530566113,28.146538628821542,26.06660563302278,23.58983617298618,Blue
2020mndu_qm46,2175,8416,3267,6318,4845,3100,36.06134978726618,29.224320555052117,3.4654548827154867,6.468354120150211,Red
2020mndu_qm47,3294,3134,2169,3740,5348,7864,36.54586376696329,35.390644826281324,5.351771923584023,14.87344035152339,Blue
