,Rank,OPR,DPR,CCWM,teleopOPR,autoOPR,endgameOPR,scheduleStrength
525,7,51.0333386704636,29.04561207449621,21.98772659596739,38.33013676775983,12.535541101302469,25.899691040351577,1.6390172132656273
1108,12,26.043430940863075,38.937133677042944,-12.893702736179868,19.816671935251737,6.85206913195738,12.267826537011892,-2.3687408981807216
1710,11,48.35950318273619,46.14708477070024,2.2124184120359516,31.892739921440068,13.654637117692204,22.69569558582425,5.521190127031945
1764,27,27.31819625623508,34.85163235947325,-7.53343610323817,12.811850740731124,10.020852850801415,4.583882335854538,3.5959477035272
1769,6,45.878318720382225,31.073245861365336,14.805072859016889,29.190669812114,13.649394723721851,29.528480472451516,1.2479895684414057
1775,18,11.383687073697619,24.938802359807458,-13.555115286109839,9.69501497837048,4.770656518942839,5.328954709085866,-1.704260172768101
1777,32,19.364168284878563,37.96039097261309,-18.596222687734528,5.48583984105815,6.811689826747273,4.053161758835555,-0.38044140011576655
1785,36,31.038792319652647,33.311564538303365,-2.2727722186507187,11.74280800689608,7.7436708305475825,2.890081975113579,0.35604215372351194
1806,28,21.225342804908074,37.95835779245148,-16.733014987543406,4.419608672275631,8.591038913029141,-3.0033960678466554,-0.46142715379855187
1810,23,17.40170501945188,45.51197353187416,-28.11026851242228,9.459273304051637,7.632562568854593,7.709599485180959,1.261773365107018
1847,30,9.650655559864243,28.687258221026173,-19.03660266116193,8.397707068022362,3.983152072341816,5.608907723634441,0.04510693178548723
1939,17,28.686894574932197,38.410519964347344,-9.723625389415147,13.560465323632098,6.064364467858653,10.039491584261675,1.465908490339653
1982,21,29.170214890849856,34.96100280223922,-5.790787911389366,17.230385519468957,7.679004737312204,11.33642396027588,-1.3127535993902475
1986,1,79.21690949006049,16.386434725529135,62.83047476453135,56.63754587819394,19.061361452562167,30.784029582915196,-2.3269822897848202
1987,4,53.00745983682793,22.816611965145523,30.190847871682404,32.731992042597135,17.70157354991146,17.64350188017657,-3.5978725212260616
1994,29,15.31950096913246,38.630700730946124,-23.311199761813665,4.349556052690172,6.1222494723638485,0.34461093748933475,-0.7837214708260101
2001,35,18.32257444761559,39.328498138702564,-21.005923691086974,7.434567963005879,6.542614967674776,5.591876749473924,0.9574253730837062
2353,9,15.01063204741883,14.603705639456113,0.4069264079627182,5.175050240378453,4.473141822058756,4.52509132374553,-6.868174230850554
2357,34,15.35289084846007,41.993967310407214,-26.641076461947144,10.408955870224986,5.865129353766864,9.086335666988708,-3.1487980137869216
2457,19,19.621688714726883,25.075854795795205,-5.454166081068323,7.463480938710633,3.872058039178143,4.299909540745161,-2.3737076819341363
2723,10,35.88551874515404,21.74155934213636,14.143959403017679,18.151866147611436,17.259113454765302,6.941269270643842,-4.407609042869776
3284,5,56.40797417083345,19.500502976557662,36.907471194275786,36.58134099475336,16.570512698599085,23.807480514545468,2.6849189146636943
3928,3,68.07772735225403,39.18972351116293,28.8880038410911,40.19951025735937,17.561927329738175,13.332681331605144,-0.2949236158126614
4499,13,46.792707580159146,30.025465057271305,16.76724252288784,31.3986412820749,19.024313488964136,9.866183353592229,-2.3057841686011464
4522,8,80.15550754956081,38.770681178287,41.38482637127381,48.5545440473351,21.98803233036973,24.19239671047664,1.6502154308048516
4959,20,17.35052867081422,15.242224081960591,2.1083045888536294,3.454623954583779,13.36808578272204,3.6382942761979726,-0.0690975319583605
5119,14,34.11678859633024,32.059349155651624,2.057439440678614,19.130636091187505,15.57537845325706,1.2852602861831992,1.6500234742512772
5141,31,23.809769036685093,31.237319061675286,-7.427550024990193,10.690314444228603,10.79230378178583,6.054751017045969,1.6338755821848345
5268,24,13.991579516992918,61.92021659053007,-47.928637073537146,10.120766251932357,1.8564127856145551,6.496015972899221,4.196350376553362
5801,2,52.84036120203394,28.459705103172713,24.380656098861227,37.0197260756499,12.912110166828297,17.642331485234823,-0.2519693563115751
5918,25,21.678406854219812,32.85666794438535,-11.178261090165538,15.671313869172481,8.817736442124593,6.074761133169942,-1.5040423087747945
6420,22,20.762588109252956,38.55054347508049,-17.787955365827532,10.276563304716936,4.757213105041605,8.42754751563757,-0.8146953279495577
6805,33,25.073940583328277,23.26222033802028,1.8117202453079955,14.048153581854411,9.049487067051098,8.663047652379294,1.447224237114238
6843,15,26.58061145625059,33.06139335064135,-6.480781894390763,12.310990550515063,12.209491535877582,10.821209355892373,0.8792129407547895
6886,16,41.759530666631875,34.52518717189676,7.234343494735114,21.863214232616343,12.571301142273922,18.06887235318649,3.395143176947182
7064,26,27.893888589674088,34.55022276318204,-6.656334173507954,6.293474037534638,10.393150249694935,0.14040765640708602,1.3476357253600055
